N,Etiqueta,TS,ciudad,nodo_concentrador,nodo_estandar,nodo_backup,ruta,caja_codigo,color_buffer
555,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F03-PC36B-NEG,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F03,PC36B,NEG
556,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F03-PC35B-NEG,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F03,PC35B,NEG
557,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F03-PC34B-ROJ,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F03,PC34B,ROJ
558,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F03-PC33B-ROJ,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F03,PC33B,ROJ
559,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F03-PC32B-ROJ,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F03,PC32B,ROJ
560,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F03-PC31B-ROJ,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F03,PC31B,ROJ
561,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F03-PC30B-ROJ,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F03,PC30B,ROJ
562,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F03-PC29B-ROJ,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F03,PC29B,ROJ
563,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F03-PC28B-BLA,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F03,PC28B,BLA
564,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F03-PC27B-BLA,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F03,PC27B,BLA
565,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F03-PC26B-BLA,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F03,PC26B,BLA
566,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F03-PC25B-BLA,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F03,PC25B,BLA
567,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F03-PC24B-BLA,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F03,PC24B,BLA
568,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F03-PC23B-BLA,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F03,PC23B,BLA
569,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F03-PC22B-GRI,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F03,PC22B,GRI
570,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F03-PC21B-GRI,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F03,PC21B,GRI
571,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F03-PC20B-GRI,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F03,PC20B,GRI
572,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F03-PC19B-GRI,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F03,PC19B,GRI
573,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F03-PC18B-GRI,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F03,PC18B,GRI
574,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F03-PC17B-GRI,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F03,PC17B,GRI
575,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F03-PC16B-CAF,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F03,PC16B,CAF
576,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F03-PC15B-CAF,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F03,PC15B,CAF
577,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F03-PC14B-CAF,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F03,PC14B,CAF
578,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F03-PC13B-CAF,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F03,PC13B,CAF
579,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F03-PC12B-CAF,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F03,PC12B,CAF
580,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F03-PC11B-CAF,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F03,PC11B,CAF
581,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F03-PC10B-VER,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F03,PC10B,VER
582,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F03-PC09B-VER,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F03,PC09B,VER
583,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F03-PC08B-VER,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F03,PC08B,VER
584,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F03-PC07B-VER,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F03,PC07B,VER
585,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F03-PC06B-VER,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F03,PC06B,VER
586,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F03-PC05B-VER,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F03,PC05B,VER
587,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F03-PC04B-NAR,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F03,PC04B,NAR
588,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F03-PC03B-NAR,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F03,PC03B,NAR
589,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F03-PC02B-NAR,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F03,PC02B,NAR
590,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F03-PC01B-NAR,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F03,PC01B,NAR
591,CUE-Bellavista (A)-Molleturo (E)/N/A-F01-PC12B-CAF,CUE,,,,,,,
592,CUE-Bellavista (A)-Molleturo (E)/N/A-F01-PC11B-CAF,CUE,,,,,,,
593,CUE-Bellavista (A)-Molleturo (E)/N/A-F01-PC10B-CAF,CUE,,,,,,,
594,CUE-Bellavista (A)-Molleturo (E)/N/A-F01-PC09B-VER,CUE,,,,,,,
595,CUE-Bellavista (A)-Molleturo (E)/N/A-F01-PC08B-VER,CUE,,,,,,,
596,CUE-Bellavista (A)-Molleturo (E)/N/A-F01-PC07B-VER,CUE,,,,,,,
597,CUE-Bellavista (A)-Molleturo (E)/N/A-F01-PC06B-NAR,CUE,,,,,,,
598,CUE-Bellavista (A)-Molleturo (E)/N/A-F01-PC05B-NAR,CUE,,,,,,,
599,CUE-Bellavista (A)-Molleturo (E)/N/A-F01-PC04B-NAR,CUE,,,,,,,
600,CUE-Bellavista (A)-Molleturo (E)/N/A-F01-PC03B-AZU,CUE,,,,,,,
601,CUE-Bellavista (A)-Molleturo (E)/N/A-F01-PC02B-AZU,CUE,,,,,,,
602,CUE-Bellavista (A)-Molleturo (E)/N/A-F01-PC01B-AZU,CUE,,,,,,,
603,CUE-Bellavista (A)-Molleturo (E)/N/A-F02-PC12B-CAF,CUE,,,,,,,
604,CUE-Bellavista (A)-Molleturo (E)/N/A-F02-PC11B-CAF,CUE,,,,,,,
605,CUE-Bellavista (A)-Molleturo (E)/N/A-F02-PC10B-CAF,CUE,,,,,,,
606,CUE-Bellavista (A)-Molleturo (E)/N/A-F02-PC09B-VER,CUE,,,,,,,
607,CUE-Bellavista (A)-Molleturo (E)/N/A-F02-PC08B-VER,CUE,,,,,,,
608,CUE-Bellavista (A)-Molleturo (E)/N/A-F02-PC07B-VER,CUE,,,,,,,
