N,Etiqueta,TS,ciudad,nodo_concentrador,nodo_estandar,nodo_backup,ruta,caja_codigo,color_buffer
676,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC03B-NAR,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC03B,NAR
677,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC02B-NAR,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC02B,NAR
678,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC01B-NAR,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC01B,NAR
679,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC60B-CEL,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC60B,CEL
680,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC59B-CEL,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC59B,CEL
681,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC58B-CEL,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC58B,CEL
682,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC57B-CEL,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC57B,CEL
683,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC56B-CEL,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC56B,CEL
684,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC55B-CEL,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC55B,CEL
685,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC54B-ROS,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC54B,ROS
686,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC53B-ROS,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC53B,ROS
687,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC52B-ROS,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC52B,ROS
688,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC51B-ROS,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC51B,ROS
689,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC50B-ROS,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC50B,ROS
690,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC49B-ROS,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC49B,ROS
691,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC48B-VIO,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC48B,VIO
692,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC47B-VIO,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC47B,VIO
693,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC46B-VIO,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC46B,VIO
694,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC45B-VIO,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC45B,VIO
695,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC44B-VIO,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC44B,VIO
696,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC43B-VIO,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC43B,VIO
697,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC42B-AMA,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC42B,AMA
698,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC41B-AMA,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC41B,AMA
699,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC40B-AMA,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC40B,AMA
700,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC39B-AMA,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC39B,AMA
701,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC38B-AMA,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC38B,AMA
702,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC37B-AMA,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC37B,AMA
703,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC36B-NEG,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC36B,NEG
704,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC35B-NEG,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC35B,NEG
705,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC34B-NEG,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC34B,NEG
706,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC33B-NEG,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC33B,NEG
707,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC32B-NEG,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC32B,NEG
708,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC31B-NEG,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC31B,NEG
709,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC30B-ROJ,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC30B,ROJ
710,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC29B-ROJ,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC29B,ROJ
711,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC28B-ROJ,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC28B,ROJ
712,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC27B-ROJ,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC27B,ROJ
713,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC26B-ROJ,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC26B,ROJ
714,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC25B-ROJ,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC25B,ROJ
715,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC24B-BLA,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC24B,BLA
716,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC23B-BLA,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC23B,BLA
717,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC22B-BLA,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC22B,BLA
718,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC21B-BLA,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC21B,BLA
719,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC20B-BLA,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC20B,BLA
720,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC19B-BLA,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC19B,BLA
721,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC18B-GRI,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC18B,GRI
722,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC17B-GRI,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC17B,GRI
723,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC16B-GRI,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC16B,GRI
724,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC15B-GRI,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC15B,GRI
725,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC14B-GRI,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC14B,GRI
726,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC13B-GRI,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC13B,GRI
727,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC12B-CAF,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC12B,CAF
728,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC11B-CAF,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC11B,CAF
729,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC10B-CAF,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC10B,CAF
730,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC09B-CAF,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC09B,CAF
731,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC08B-CAF,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC08B,CAF
732,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC07B-CAF,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC07B,CAF
733,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC06B-VER,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC06B,VER
734,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC05B-VER,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC05B,VER
735,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC04B-VER,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC04B,VER
736,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC03B-VER,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC03B,VER
737,CUE-Bellavista (A)-Mall del Rio (E)/Control Sur (E)-F04-PC02B-VER,CUE,CUE,Bellavista (A),Mall del Rio (E),Control Sur (E),F04,PC02B,VER
738,CUE-Bellavista (A)-Control Sur (E)/Mall del Rio (E)-F04-PC01B-VER,CUE,CUE,Bellavista (A),Control Sur (E),Mall del Rio (E),F04,PC01B,VER
739,CUE-Bellavista (A)-El Valle (E)/N/A-F02-PC36B-CEL,CUE,,,,,,,
740,CUE-Bellavista (A)-El Valle (E)/N/A-F02-PC35B-CEL,CUE,,,,,,,
741,CUE-Bellavista (A)-El Valle (E)/N/A-F02-PC34B-CEL,CUE,,,,,,,
742,CUE-Bellavista (A)-El Valle (E)/N/A-F02-PC33B-ROS,CUE,,,,,,,
743,CUE-Bellavista (A)-El Valle (E)/N/A-F02-PC32B-ROS,CUE,,,,,,,
744,CUE-Bellavista (A)-El Valle (E)/N/A-F02-PC31B-ROS,CUE,,,,,,,
745,CUE-Bellavista (A)-El Valle (E)/N/A-F02-PC30B-VIO,CUE,,,,,,,
746,CUE-Bellavista (A)-El Valle (E)/N/A-F02-PC29B-VIO,CUE,,,,,,,
747,CUE-Bellavista (A)-El Valle (E)/N/A-F02-PC28B-VIO,CUE,,,,,,,
748,CUE-Bellavista (A)-El Valle (E)/N/A-F02-PC27B-AMA,CUE,,,,,,,
749,CUE-Bellavista (A)-El Valle (E)/N/A-F02-PC26B-AMA,CUE,,,,,,,
750,CUE-Bellavista (A)-El Valle (E)/N/A-F02-PC25B-AMA,CUE,,,,,,,
751,STA-Portoviejo (A)-Ayacucho (E)/N/A-F01-PC24B-CEL,MNT,,,,,,,
752,STA-Portoviejo (A)-Ayacucho (E)/N/A-F01-PC23B-CEL,MNT,,,,,,,
753,STA-Portoviejo (A)-Ayacucho (E)/N/A-F01-PC22B-ROS,MNT,,,,,,,
754,STA-Portoviejo (A)-Ayacucho (E)/N/A-F01-PC21B-ROS,MNT,,,,,,,
755,STA-Portoviejo (A)-Ayacucho (E)/N/A-F01-PC20B-VIO,MNT,,,,,,,
756,STA-Portoviejo (A)-Ayacucho (E)/N/A-F01-PC19B-VIO,MNT,,,,,,,
757,STA-Portoviejo (A)-Ayacucho (E)/N/A-F01-PC18B-AMA,MNT,,,,,,,
758,STA-Portoviejo (A)-Ayacucho (E)/N/A-F01-PC17B-AMA,MNT,,,,,,,
759,STA-Portoviejo (A)-Ayacucho (E)/N/A-F01-PC16B-NEG,MNT,,,,,,,
760,STA-Portoviejo (A)-Ayacucho (E)/N/A-F01-PC15B-NEG,MNT,,,,,,,
761,STA-Portoviejo (A)-Ayacucho (E)/N/A-F01-PC14B-ROJ,MNT,,,,,,,
762,STA-Portoviejo (A)-Ayacucho (E)/N/A-F01-PC13B-ROJ,MNT,,,,,,,
763,STA-Portoviejo (A)-Ayacucho (E)/N/A-F01-PC12B-BLA,MNT,,,,,,,
764,STA-Portoviejo (A)-Ayacucho (E)/N/A-F01-PC11B-BLA,MNT,,,,,,,
765,STA-Portoviejo (A)-Ayacucho (E)/N/A-F01-PC10B-GRI,MNT,,,,,,,
766,STA-Portoviejo (A)-Ayacucho (E)/N/A-F01-PC09B-GRI,MNT,,,,,,,
767,STA-Portoviejo (A)-Ayacucho (E)/N/A-F01-PC08B-CAF,MNT,,,,,,,
768,STA-Portoviejo (A)-Ayacucho (E)/N/A-F01-PC07B-CAF,MNT,,,,,,,
769,STA-Portoviejo (A)-Ayacucho (E)/N/A-F01-PC06B-VER,MNT,,,,,,,
770,STA-Portoviejo (A)-Ayacucho (E)/N/A-F01-PC05B-VER,MNT,,,,,,,
771,STA-Portoviejo (A)-Ayacucho (E)/N/A-F01-PC04B-NAR,MNT,,,,,,,
772,STA-Portoviejo (A)-Ayacucho (E)/N/A-F01-PC03B-NAR,MNT,,,,,,,
773,STA-Portoviejo (A)-Ayacucho (E)/N/A-F01-PC02B-AZU,MNT,,,,,,,
774,STA-Portoviejo (A)-Ayacucho (E)/N/A-F01-PC01B-AZU,MNT,,,,,,,
775,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F03-PC40B-CEL,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F03,PC40B,CEL
776,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F03-PC39B-CEL,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F03,PC39B,CEL
777,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F03-PC38B-CEL,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F03,PC38B,CEL
778,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F03-PC37B-CEL,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F03,PC37B,CEL
779,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F03-PC36B-ROS,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F03,PC36B,ROS
780,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F03-PC35B-ROS,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F03,PC35B,ROS
781,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F03-PC34B-ROS,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F03,PC34B,ROS
782,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F03-PC33B-ROS,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F03,PC33B,ROS
783,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F03-PC32B-VIO,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F03,PC32B,VIO
784,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F03-PC31B-VIO,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F03,PC31B,VIO
785,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F03-PC30B-VIO,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F03,PC30B,VIO
786,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F03-PC29B-VIO,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F03,PC29B,VIO
787,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F03-PC28B-AMA,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F03,PC28B,AMA
788,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F03-PC27B-AMA,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F03,PC27B,AMA
789,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F03-PC26B-AMA,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F03,PC26B,AMA
790,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F03-PC25B-AMA,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F03,PC25B,AMA
791,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F03-PC24B-NEG,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F03,PC24B,NEG
792,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F03-PC23B-NEG,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F03,PC23B,NEG
793,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F03-PC22B-NEG,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F03,PC22B,NEG
794,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F03-PC21B-NEG,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F03,PC21B,NEG
795,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F03-PC20B-ROJ,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F03,PC20B,ROJ
796,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F03-PC19B-ROJ,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F03,PC19B,ROJ
797,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F03-PC18B-ROJ,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F03,PC18B,ROJ
798,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F03-PC17B-ROJ,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F03,PC17B,ROJ
799,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F03-PC16B-BLA,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F03,PC16B,BLA
800,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F03-PC15B-BLA,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F03,PC15B,BLA
801,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F03-PC14B-BLA,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F03,PC14B,BLA
802,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F03-PC13B-BLA,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F03,PC13B,BLA
803,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F03-PC12B-GRI,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F03,PC12B,GRI
804,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F03-PC11B-GRI,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F03,PC11B,GRI
805,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F03-PC10B-GRI,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F03,PC10B,GRI
806,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F03-PC09B-GRI,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F03,PC09B,GRI
807,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F03-PC08B-CAF,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F03,PC08B,CAF
808,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F03-PC07B-CAF,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F03,PC07B,CAF
809,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F03-PC06B-CAF,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F03,PC06B,CAF
810,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F03-PC05B-CAF,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F03,PC05B,CAF
811,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F03-PC04B-VER,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F03,PC04B,VER
812,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F03-PC03B-VER,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F03,PC03B,VER
813,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F03-PC02B-VER,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F03,PC02B,VER
814,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F03-PC01B-VER,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F03,PC01B,VER
815,PVO-Portoviejo (A)-San Alejo (E)(B)/San Alejo (E)(A)-F01-PC40B-CEL,MNT,PVO,Portoviejo (A),San Alejo (E)(B),San Alejo (E)(A),F01,PC40B,CEL
816,PVO-Portoviejo (A)-San Alejo (E)(A)/San Alejo (E)(B)-F01-PC39B-CEL,MNT,PVO,Portoviejo (A),San Alejo (E)(A),San Alejo (E)(B),F01,PC39B,CEL
817,PVO-Portoviejo (A)-San Alejo (E)(B)/San Alejo (E)(A)-F01-PC38B-CEL,MNT,PVO,Portoviejo (A),San Alejo (E)(B),San Alejo (E)(A),F01,PC38B,CEL
818,PVO-Portoviejo (A)-San Alejo (E)(A)/San Alejo (E)(B)-F01-PC37B-CEL,MNT,PVO,Portoviejo (A),San Alejo (E)(A),San Alejo (E)(B),F01,PC37B,CEL
819,PVO-Portoviejo (A)-San Alejo (E)(B)/San Alejo (E)(A)-F01-PC36B-ROS,MNT,PVO,Portoviejo (A),San Alejo (E)(B),San Alejo (E)(A),F01,PC36B,ROS
820,PVO-Portoviejo (A)-San Alejo (E)(A)/San Alejo (E)(B)-F01-PC35B-ROS,MNT,PVO,Portoviejo (A),San Alejo (E)(A),San Alejo (E)(B),F01,PC35B,ROS
821,PVO-Portoviejo (A)-San Alejo (E)(B)/San Alejo (E)(A)-F01-PC34B-ROS,MNT,PVO,Portoviejo (A),San Alejo (E)(B),San Alejo (E)(A),F01,PC34B,ROS
822,PVO-Portoviejo (A)-San Alejo (E)(A)/San Alejo (E)(B)-F01-PC33B-ROS,MNT,PVO,Portoviejo (A),San Alejo (E)(A),San Alejo (E)(B),F01,PC33B,ROS
823,PVO-Portoviejo (A)-San Alejo (E)(B)/San Alejo (E)(A)-F01-PC32B-VIO,MNT,PVO,Portoviejo (A),San Alejo (E)(B),San Alejo (E)(A),F01,PC32B,VIO
824,PVO-Portoviejo (A)-San Alejo (E)(A)/San Alejo (E)(B)-F01-PC31B-VIO,MNT,PVO,Portoviejo (A),San Alejo (E)(A),San Alejo (E)(B),F01,PC31B,VIO
825,PVO-Portoviejo (A)-San Alejo (E)(B)/San Alejo (E)(A)-F01-PC30B-VIO,MNT,PVO,Portoviejo (A),San Alejo (E)(B),San Alejo (E)(A),F01,PC30B,VIO
826,PVO-Portoviejo (A)-San Alejo (E)(A)/San Alejo (E)(B)-F01-PC29B-VIO,MNT,PVO,Portoviejo (A),San Alejo (E)(A),San Alejo (E)(B),F01,PC29B,VIO
827,PVO-Portoviejo (A)-San Alejo (E)(B)/San Alejo (E)(A)-F01-PC28B-AMA,MNT,PVO,Portoviejo (A),San Alejo (E)(B),San Alejo (E)(A),F01,PC28B,AMA
828,PVO-Portoviejo (A)-San Alejo (E)(A)/San Alejo (E)(B)-F01-PC27B-AMA,MNT,PVO,Portoviejo (A),San Alejo (E)(A),San Alejo (E)(B),F01,PC27B,AMA
829,PVO-Portoviejo (A)-San Alejo (E)(B)/San Alejo (E)(A)-F01-PC26B-AMA,MNT,PVO,Portoviejo (A),San Alejo (E)(B),San Alejo (E)(A),F01,PC26B,AMA
830,PVO-Portoviejo (A)-San Alejo (E)(A)/San Alejo (E)(B)-F01-PC25B-AMA,MNT,PVO,Portoviejo (A),San Alejo (E)(A),San Alejo (E)(B),F01,PC25B,AMA
831,PVO-Portoviejo (A)-San Alejo (E)(B)/San Alejo (E)(A)-F01-PC24B-NEG,MNT,PVO,Portoviejo (A),San Alejo (E)(B),San Alejo (E)(A),F01,PC24B,NEG
832,PVO-Portoviejo (A)-San Alejo (E)(A)/San Alejo (E)(B)-F01-PC23B-NEG,MNT,PVO,Portoviejo (A),San Alejo (E)(A),San Alejo (E)(B),F01,PC23B,NEG
833,PVO-Portoviejo (A)-San Alejo (E)(B)/San Alejo (E)(A)-F01-PC22B-NEG,MNT,PVO,Portoviejo (A),San Alejo (E)(B),San Alejo (E)(A),F01,PC22B,NEG
834,PVO-Portoviejo (A)-San Alejo (E)(A)/San Alejo (E)(B)-F01-PC21B-NEG,MNT,PVO,Portoviejo (A),San Alejo (E)(A),San Alejo (E)(B),F01,PC21B,NEG
835,PVO-Portoviejo (A)-San Alejo (E)(B)/San Alejo (E)(A)-F01-PC20B-ROJ,MNT,PVO,Portoviejo (A),San Alejo (E)(B),San Alejo (E)(A),F01,PC20B,ROJ
836,PVO-Portoviejo (A)-San Alejo (E)(A)/San Alejo (E)(B)-F01-PC19B-ROJ,MNT,PVO,Portoviejo (A),San Alejo (E)(A),San Alejo (E)(B),F01,PC19B,ROJ
837,PVO-Portoviejo (A)-San Alejo (E)(B)/San Alejo (E)(A)-F01-PC18B-ROJ,MNT,PVO,Portoviejo (A),San Alejo (E)(B),San Alejo (E)(A),F01,PC18B,ROJ
838,PVO-Portoviejo (A)-San Alejo (E)(A)/San Alejo (E)(B)-F01-PC17B-ROJ,MNT,PVO,Portoviejo (A),San Alejo (E)(A),San Alejo (E)(B),F01,PC17B,ROJ
